Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Japan,JPN,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.4145275805571
Japan,JPN,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.4554888039323
Japan,JPN,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.4901746724891
Japan,JPN,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.5465465465465
Japan,JPN,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.8504366812227
Japan,JPN,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.9050218340611
Japan,JPN,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.9623362445415
Japan,JPN,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.0150068212824
Japan,JPN,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.1159618008186
Japan,JPN,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.4986361156574
Japan,JPN,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.5859247135843
Japan,JPN,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.6868521549373
Japan,JPN,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.8374693209708
Japan,JPN,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.2601581674393
Japan,JPN,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.1401690755386
Japan,JPN,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.5355876738478
Japan,JPN,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.6473956913008
Japan,JPN,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.8055631306245
Japan,JPN,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.1000818107445
Japan,JPN,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.1709844559585
Japan,JPN,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.1437142077993
Japan,JPN,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.4164166893919
